,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Abdulrahman Al-Sumait University (SUMAIT),"Technician Certificate in Counselling and
Psychology","Holders of Certificate of Secondary Education Examination (CSEE)
with At Least four (4) Passes in non-religious subjects or National
Vocational Award (NVA) Level III with At Least two Passes in Certificate
of Secondary Education Examination (CSEE).",2,100,"Local Fee: TSH. 750,000/="
Abdulrahman Al-Sumait University (SUMAIT),Diploma in Counselling and Psychology,Holders of: NTA level 4 in Counseling Psychology,1,100,"Local Fee: TSH. 750,000/="
Abdulrahman Al-Sumait University (SUMAIT),Ordinary Diploma in Arts with Education,"Holders of Certificate in Arts with Education or Certificate of Teachers
Education Grade III A",2,100,"Local Fee: TSH. 750,000/= ,
Foreigner Fee: USD 312/="
Abdulrahman Al-Sumait University (SUMAIT),"Ordinary Diploma in Business Information
Technology","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects including Basic
Mathematics and English Language OR National Vocational Award
(NVA) Level III or Trade Test Grade I with a Certificate of Secondary
Education Examination (CSEE)",3,100,"Local Fee: TSH. 750,000/="
,,"Holders of Basic Technician Certificate (NTA Level 4) in Business
Information Technology, Information Technology, Computer
Sciences/Engineering OR Advanced Certificate of Secondary Education
Examination (ACSEE) with at least one Principal pass and one
Subsidiary in Principal subjects.",2,100,
Abdulrahman Al-Sumait University (SUMAIT),Ordinary Diploma in Computing and Information,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in Non-religious subjects including passes
in Basic Mathematics and English Language.",3,200,"Local Fee: TSH. 750,000/=  Foreigner Fee: USD 312/="
,,"Holders of Basic Technician Certificate (NTA Level 4) in Computing and
Information Technology OR Advanced Certificate of Secondary
Education (ACSEE) with at least one Principal pass and one Subsidiary
in Principal subjects.",2,200,
Abdulrahman Al-Sumait University (SUMAIT),Ordinary Diploma in Office Administration,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects including English
Language.",3,100,"Local Fee: TSH. 750,000/="
,,"Holders of Basic Technician Certificate (NTA Level 4) in Office
Administration, Secretarial Studies OR Advanced Certificate of
Secondary Education Examinations (ACSEE) with at least one Principal
pass and one Subsidiary in Principal subjects.",2,100,
Abdulrahman Al-Sumait University (SUMAIT),Ordinary Diploma in Science with Education,holder of basic technician in education science,2,100,"Local Fee: TSH. 1,100,000/= ,
Foreigner Fee: USD 458/="
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
